0   1 * 0
0   2 * 0
0   3 * 0
0   9 * 0
0   10 * 0
2   1 * 2
3   1 * 3
4   1 * 4
4   2 * 2
5   1 * 5
6   1 * 6
6   2 * 3
6   3 * 2
7   1 * 7
8   1 * 8
8   2 * 4
9   1 * 9
9   3 * 3
10   1 * 10
10   2 * 5
11   1 * 11
12   1 * 12
12   2 * 6
12   3 * 4
14   2 * 7
15   3 * 5
16   2 * 8
18   2 * 9
18   3 * 6
18   9 * 2
20   2 * 10
20   10 * 2
21   3 * 7
22   2 * 11
24   2 * 12
24   3 * 8
27   3 * 9
27   9 * 3
30   3 * 10
30   10 * 3
33   3 * 11
36   3 * 12
36   9 * 4
40   10 * 4
45   9 * 5
50   10 * 5
54   9 * 6
60   10 * 6
63   9 * 7
70   10 * 7
72   9 * 8
80   10 * 8
81   9 * 9
90   9 * 10
90   10 * 9
99   9 * 11
100   10 * 10
108   9 * 12
110   10 * 11
120   10 * 12
