0   1 * 0
0   2 * 0
0   3 * 0
0   4 * 0
0   5 * 0
0   6 * 0
0   7 * 0
0   8 * 0
0   9 * 0
0   10 * 0
2   1 * 2
3   1 * 3
4   1 * 4
4   2 * 2
5   1 * 5
6   1 * 6
6   2 * 3
6   3 * 2
7   1 * 7
8   1 * 8
8   2 * 4
8   4 * 2
9   1 * 9
9   3 * 3
10   1 * 10
10   2 * 5
10   5 * 2
11   1 * 11
12   1 * 12
12   2 * 6
12   3 * 4
12   4 * 3
12   6 * 2
14   2 * 7
14   7 * 2
15   3 * 5
15   5 * 3
16   2 * 8
16   4 * 4
16   8 * 2
18   2 * 9
18   3 * 6
18   6 * 3
18   9 * 2
20   2 * 10
20   4 * 5
20   5 * 4
20   10 * 2
21   3 * 7
21   7 * 3
22   2 * 11
24   2 * 12
24   3 * 8
24   4 * 6
24   6 * 4
24   8 * 3
25   5 * 5
27   3 * 9
27   9 * 3
28   4 * 7
28   7 * 4
30   3 * 10
30   5 * 6
30   6 * 5
30   10 * 3
32   4 * 8
32   8 * 4
33   3 * 11
35   5 * 7
35   7 * 5
36   3 * 12
36   4 * 9
36   6 * 6
36   9 * 4
40   4 * 10
40   5 * 8
40   8 * 5
40   10 * 4
42   6 * 7
42   7 * 6
44   4 * 11
45   5 * 9
45   9 * 5
48   4 * 12
48   6 * 8
48   8 * 6
49   7 * 7
50   5 * 10
50   10 * 5
54   6 * 9
54   9 * 6
55   5 * 11
56   7 * 8
56   8 * 7
60   5 * 12
60   6 * 10
60   10 * 6
63   7 * 9
63   9 * 7
64   8 * 8
66   6 * 11
70   7 * 10
70   10 * 7
72   6 * 12
72   8 * 9
72   9 * 8
77   7 * 11
80   8 * 10
80   10 * 8
81   9 * 9
84   7 * 12
88   8 * 11
90   9 * 10
90   10 * 9
96   8 * 12
99   9 * 11
100   10 * 10
108   9 * 12
110   10 * 11
120   10 * 12
