2	1, _, 3
2	_, 3, 4
3	1, 2, _
3	2, _, 4
4	2, 3, _
4	3, _, 5
4	_, 5, 6
5	3, 4, _
5	4, _, 6
5	_, 6, 7
6	4, 5, _
6	5, _, 7
6	_, 7, 8
7	5, 6, _
7	6, _, 8
7	_, 8, 9
8	6, 7, _
8	7, _, 9
8	_, 9, 10
9	7, 8, _
9	8, _, 10
9	_, 10, 11
10	8, 9, _
10	9, _, 11
10	_, 11, 12
11	9, 10, _
11	10, _, 12
11	_, 12, 13
12	10, 11, _
12	11, _, 13
12	_, 13, 14
13	11, 12, _
13	12, _, 14
13	_, 14, 15
14	12, 13, _
14	13, _, 15
14	_, 15, 16
15	13, 14, _
15	14, _, 16
15	_, 16, 17
16	14, 15, _
16	15, _, 17
16	_, 17, 18
17	15, 16, _
17	16, _, 18
17	_, 18, 19
18	16, 17, _
18	17, _, 19
18	_, 19, 20
19	17, 18, _
19	18, _, 20
19	_, 20, 21
20	18, 19, _
20	19, _, 21
20	_, 21, 22
